Desc_Instituicao;Modalidade;Desc_Curso
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação Aperfeiçoamento em Inclusão e Educação Especial
Campus Barra de São Francisco;Superior;Curso Superior em Administração
Campus Aracruz;FIC;Preparatório Rumo ao Sucesso Ifes e PMA
Campus Linhares;FIC;Curso de Extensão Conecte-se
Campus Linhares;FIC;Curso de Extensão Ideias, Inovação e Negócios
Campus Vitória;FIC;Qualificação Profissional de Auxiliar de Eletricista - Integral
Campus Aracruz;FIC;Curso de Extensão de Inglês Instrumental
Campus Santa Teresa;Pós-Graduação;Pós-graduação Lato Sensu em Educação e Gestão Ambiental
Campus Centro-Serrano;Integrado;Técnico em Agricultura Integrado ao Ensino Médio
Campus Guarapari;Concomitante/Subsequente;Técnico em Mecânica
Campus Vila Velha;Integrado;Técnico em Química Integrado ao Ensino Médio
Campus Linhares;FIC;Pneumática Básica
Campus Serra;FIC;FIC MULHERES NA CIÊNCIA
Campus Barra de São Francisco;FIC;Curso de HP12C e Calc para reforço na disciplina de Finanças
Campus Colatina;FIC;Noções Básicas de Informática
Centro de Referência em Formação e em Educação a Distância;FIC;Tecnologias Digitais para Professores da Educação Infantil
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós Graduação Lato Sensu em Tecnologias de Produção de Rochas Ornamentais
Campus Vitória;Integrado;Técnico em Hospedagem Integrado ao Ensino Médio
Campus Barra de São Francisco;FIC;Controle Social da Administração Pública - Noturno
Campus Colatina;FIC;Prática de Conjunto Instrumental - Noturno
Campus Colatina;FIC;Educação Ambiental para Professores da Educação Infantil
Campus Linhares;FIC;Curso de Informática Básica
Centro de Referência em Formação e em Educação a Distância;FIC;Língua Brasileira de Sinais (Libras) - Introdutório 1
Campus Vitória;Pós-Graduação;Pós-Graduação Lato Sensu em Engenharia Metalúrgica com Ênfase em Siderurgia - Integral
Campus Nova Venécia;Superior;Bacharelado em Engenharia Civil
Campus Vitória;Pós-Graduação;Pós-Graduação Lato Sensu em Engenharia de Infraestrutura Urbana
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação Aperfeiçoamento em Arqueologia, Patrimônio e Educação
Campus Aracruz;FIC;Curso de Informática - Office Módulo II
Campus Vila Velha;Superior;Licenciatura em Pedagogia - Integral
Campus Vila Velha;Superior;Bacharelado em Biomedicina
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação Aperfeiçoamento em Formação de Conceitos Geométricos na Escola Básica via Lesson Study
Campus Centro-Serrano;Superior;Bacharelado em Administração - Centro-Serrano
Campus Serra;Mestrado;Mestrado Profissional em Computação Aplicada
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Aperfeiçoamento em Formação Docente para a Educação a Distância
Campus Colatina;Pós-Graduação;Pós-Graduação lato sensu em Sustentabilidade no Ambiente Construído
Centro de Referência em Formação e em Educação a Distância;Mestrado;Aluno Especial
Centro de Referência em Formação e em Educação a Distância;FIC;História Natural
Centro de Referência em Formação e em Educação a Distância;FIC;Softwares Educacionais para o Ensino da Matemática no Ensino Médio
Campus Viana;FIC;Auxiliar de Operações Logísticas
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós Graduação Lato Sensu em Ensino de Ciências Naturais com Ênfase em Física ou Química
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós Graduação Lato Sensu em Ensino de Ciências Naturais com Ênfase em Física ou Química
Campus Aracruz;FIC;Curso de Solda Mig Mag - Noturno
Centro de Referência em Formação e em Educação a Distância;FIC;Utilização pedagógica do patrimônio cultural do munícipio da Serra
Centro de Referência em Formação e em Educação a Distância;FIC;Formação em EAD para Professores da Educação Profissional
Campus Barra de São Francisco;FIC;Inglês Geral - Nível Básico - Vespertino
Campus Barra de São Francisco;FIC;Power Point 2007 - Vespertino
Campus Guarapari;Pós-Graduação;Pós Graduação Lato Sensu em Tecnologias Empresariais
Campus Barra de São Francisco;FIC;Lingua Portuguesa com foco no Enem - Vespertino
Campus Barra de São Francisco;FIC;Normas de formatação ABNT, TCC e artigo acadêmico - Vespertino
Campus Vitória;FIC;Geoprocessamento Aplicado ao Licenciamento Ambiental
Campus Ibatiba;FIC;Fundamentos e Práticas de Educação Ambiental
Centro de Referência em Formação e em Educação a Distância;FIC;Tecnologias Digitais no Ensino do Esporte
Centro de Referência em Formação e em Educação a Distância;FIC;Formação Continuada em Educação para a Televisão para Professores do Ensino Médio
Campus Linhares;FIC;Curso de Gestão da Qualidade
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Aperfeiçoamento em Design Educacional
Campus Colatina;FIC;Informática Básica Aplicada ao Mundo do Trabalho
Campus Venda Nova do Imigrante;FIC;Curso FIC Educação para as Relações Étnico-Raciais
Campus Aracruz;Pós-Graduação;Pós-Graduação Lato Sensu em Ensino de Ciências, Saúde e Ambiente (Encisa)
Campus Barra de São Francisco;Concomitante/Subsequente;Técnico em Agricultura - Vespertino
Campus Piúma;Pós-Graduação;Pós-graduação Lato Sensu em Controle de Qualidade e Segurança de Alimentos
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Aperfeiçoamento em Tecnologias Digitais Aplicadas à Educação
Campus Barra de São Francisco;FIC;Lingua Brasileira de Sinais( Libras) - Básico I - Noturno
Centro de Referência em Formação e em Educação a Distância;FIC;Evolução Humana
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Aperfeiçoamento Ensino de Ciências
Campus São Mateus;Pós-Graduação;Pós-Graduação lato sensu em Eficiência Energética Industrial
Centro de Referência em Formação e em Educação a Distância;FIC;Formação de Mediadores Pedagógicos em Educação a Distância
Campus Aracruz;FIC;Preparatório Ifes e PMI - Semeando Talentos
Campus Aracruz;FIC;Formação de profissionais da educação básica em serviços públicos essenciais e saneamento básico
Campus de Alegre;Pós-Graduação;Pós-Graduação Lato Sensu em Agroecologia e Sustentabilidade
Campus Barra de São Francisco;Integrado;Curso Técnico em Administração Integrado ao Ensino Médio - Integral
Centro de Referência em Formação e em Educação a Distância;FIC;(Re)significando conceitos para o ensino de área e perímetro
Campus Colatina;FIC;Gestão Integrada de Recursos Hídricos
Campus Serra;FIC;FIC Ambientação Pedagógica: Didática e Técnicas de Ensino
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós Graduação Lato Sensu em Práticas Pedagógicas para Professores
Campus Santa Teresa;Pós-Graduação;Pós Graduação Lato Sensu em Práticas Pedagógicas para Professores
Campus de Alegre;Pós-Graduação;Pós-Graduação Lato Sensu em Práticas Pedagógicas para Professores
Centro de Referência em Formação e em Educação a Distância;FIC;A Dívida Pública em Debate: Onde e como ela afeta a sua vida?
Campus Itapina;Integrado;TÉCNICO EM ALIMENTOS
Campus Linhares;Integrado;Técnico em Meio Ambiente Integrado ao Ensino Médio
Campus Cariacica;Pós-Graduação;Pós-graduação lato sensu em Prática Pedagógica para Professores
Campus Venda Nova do Imigrante;Pós-Graduação;Pós-Graduação Lato Sensu em Práticas Pedagógicas para Professores
Campus Venda Nova do Imigrante;FIC;Curso FIC Cervejas Especiais
Campus Santa Teresa;Integrado;Técnico em Informática para Internet Integrado ao Ensino Médio
Campus Linhares;Pós-Graduação;Pós-graduação lato sensu em Prática Pedagógica para Professores - Não aplicável
Campus Itapina;Superior;Zootecnia
Campus Serra;FIC;FIC-Matemática na Rede
Campus Colatina;Pós-Graduação;Pós-Graduação Lato Sensu em Prática Pedagógica para Professores
Campus Aracruz;Pós-Graduação;Pós-Graduação Lato Sensu em Práticas Pedagógicas para Professores
Campus Vitória;FIC;Cidadania, gênero e raça na sociedade contemporânea - Integral
Campus Itapina;Pós-Graduação;Pós-Graduação Lato Sensu em Práticas Pedagógicas para Professores
Centro de Referência em Formação e em Educação a Distância;FIC;Adequações Curriculares para a Educação Especial
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Aperfeiçoamento em Educação e Ciências Sustentáveis a partir do Laboratório Vivo
Campus Vitória;Superior;Engenharia Civil
Centro de Referência em Formação e em Educação a Distância;FIC;O Moodle de Lovelace - Curso Híbrido de Pensamento Computacional, Programação e Robótica: Uma chamada de Meninas para a Computação
Campus Colatina;FIC;Introdução à Inovação - Tendências Tecnológicas e seus Ecossistemas
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Aperfeiçoamento em Educação Especial Inclusiva
Campus Vila Velha;Mestrado;Mestrado Profissional em Educação em Ciências e Matemática
Campus São Mateus;Superior;Engenharia  Elétrica
Campus Linhares;FIC;Curso de Introdução à Lógica de Programação - Matutino
Campus Linhares;FIC;Curso de Programação Básica de Arduíno - Matutino
Campus Nova Venécia;Pós-Graduação;Pós-Graduação Aperfeiçoamento em Estruturas de Aço
Campus Colatina;Pós-Graduação;Pós-Graduação Lato Sensu Especialização em Ensino de Ciências da Natureza
Campus São Mateus;Pós-Graduação;Pós-Graduação lato sensu em Práticas Educacionais
Centro de Referência em Formação e em Educação a Distância;FIC;Jogos e inclusão: possibilidades para o ensino de ciências para alunos com deficiência intelectual
Centro de Referência em Formação e em Educação a Distância;FIC;Para Incluir - Formação Continuada de Profissionais da Educação Básica em Educação Inclusiva
Centro de Referência em Formação e em Educação a Distância;FIC;Acessibilidade e Tecnologia
Campus Colatina;Pós-Graduação;Pós-graduação Lato Sensu em Docência em Educação Profissional e Tecnológica
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus Colatina;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus Santa Teresa;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus Viana;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas - EAD
Campus Cariacica;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas - EAD
Campus Piúma;Pós-Graduação;Pós-graduação Latu Sensu em Práticas Pedagógicas
Campus Serra;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus Centro-Serrano;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus Itapina;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus Linhares;Pós-Graduação;Práticas Pedagógicas para a Educação
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas
Campus de Alegre;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas - EAD
Campus Viana;FIC;Curso de Redação para o ENEM
Campus Viana;FIC;Curso de Física para o ENEM
Campus Barra de São Francisco;Integrado;Curso Técnico em Agricultura Integrado ao Ensino Médio
Campus Vitória;Pós-Graduação;Pós-Graduação Lato Sensu em Engenharia de Infraestrutura Urbana
Campus Vitória;Pós-Graduação;Pós-Graduação Lato Sensu em Educação Física Escolar
Campus Vila Velha;Doutorado;Doutorado em Educação em Ciências e Matemática
Campus Colatina;FIC;Competências Empreendedoras
Campus Barra de São Francisco;FIC;Lingua Brasileira de Sinais Básico I
Campus Guarapari;Superior;Licenciatura em Ciências da Natureza
Campus Barra de São Francisco;FIC;Curso de Informática aplicada aos Cursos Técnicos Integrados ao Ensino Médio
Centro de Referência em Formação e em Educação a Distância;FIC;Dimensões Transdisciplinares Para o Ensino de Ciências nos Anos Iniciais do Ensino Fundamental: Uma Abordagem pela Alfabetização Científica
Campus Cariacica;Pós-Graduação;Pós-Graduação Lato Sensu em Engenharia de Produção com ênfase em Tecnologias de Decisão
Campus Linhares;FIC;Curso de extensão Aprendendo robótica em casa
Campus Nova Venécia;Pós-Graduação;Pós-Graduação Especialização em Geoprocessamento
Campus Ibatiba;Pós-Graduação;Pós- Graduação lato sensu em Educação Ambiental e Sustentabilidade
Centro de Referência em Formação e em Educação a Distância;FIC;Navegando através do espaço: explorando a astronomia no ensino fundamental nas aulas de ciências
Campus Serra;Integrado;Técnico em Internet das Coisas Integrado ao Ensino Médio
Campus Nova Venécia;Pós-Graduação;Pós-graduação Aperfeiçoamento em Gestão Aplicada à Política - EAD
Campus Colatina;Concomitante/Subsequente;Técnico em Segurança do Trabalho - Noturno
Campus Colatina;FIC;Programação com Scratch
Campus Barra de São Francisco;FIC;Planilhas Eletrônicas - Nível Básico
Campus Nova Venécia;Pós-Graduação;Pós-graduação Aperfeiçoamento em Aspectos Técnicos da Mineração de Rochas Ornamentais - EAD
Campus Serra;Pós-Graduação;Pós-graduação em Desenvolvimento de Aplicações Inteligentes
Centro de Referência em Formação e em Educação a Distância;FIC;DICT and English Teaching: Ensinando Inglês com Tec. Digitais nos Anos Finais do Ensino fundamental
Campus Montanha;FIC;Assistente Administrativo
Campus Cachoeiro de Itapemirim;Concomitante/Subsequente;TÉCNICO EM MECÂNICA CONCOMITANTE INTERCOMPLEMENTAR AO ENSINO MÉDIO
Campus Cachoeiro de Itapemirim;Concomitante/Subsequente;TECNICO EM MINERAÇÃO CONCOMITANTE INTERCOMPLEMENTAR AO ENSINO MÉDIO
Campus Guarapari;Concomitante/Subsequente;Curso Técnico em Administração EaD em Rede
Campus Linhares;Pós-Graduação;Pós-Graduação Lato Sensu em Finanças Corporativas
Campus Aracruz;FIC;Espanhol Básico I
Campus Linhares;Superior;Bacharelado em Administração Campus Linhares
Campus Santa Teresa;Superior;Tecnologia em Sistemas para Internet - Integral
Campus Santa Teresa;Concomitante/Subsequente;Técnico em Agroecologia
Campus Barra de São Francisco;FIC;Curso Básico de Programação de Computadores em Linguagem de Blocos - Stratch
Campus Cariacica;FIC;Programa 'Qualifica Mais Progredir' - Gestão de Microempreendedor Individual - MEI - Noturno
Campus Vila Velha;FIC;Gestor de Microempreendedor individual
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós Graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Linhares;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica - EAD
Campus Centro-Serrano;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica - EAD
Campus Colatina;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Cariacica;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica - EAD
Campus Venda Nova do Imigrante;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Santa Teresa;Pós-Graduação;Pós Graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Piúma;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Serra;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus Viana;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica - EAD
Campus Itapina;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica
Campus de Alegre;Pós-Graduação;Pós-graduação Lato Sensu em Práticas Pedagógicas para a Educação Profissional e Tecnológica - EAD
Campus Aracruz;FIC;Fundamentos da Educação e Língua Portuguesa para concurso: EDITAL SEGER/SEDU Nº 01/2022 - Cargos de Nível Superior
Centro de Referência em Formação e em Educação a Distância;FIC;Pensamento computacional e robótica educacional para professores que ensinam ciências e matemática
Campus Colatina;Pós-Graduação;Pós-graduação Lato Sensu em Gestão Pública
Campus Nova Venécia;Pós-Graduação;Pós-Graduação Lato Sensu Especialização em Educação: Metodologias e Práticas para o Ensino Fundamental
Campus Piúma;Pós-Graduação;Pós-graduação Lato Sensu em Controle de Qualidade e Segurança de Alimentos
Campus Aracruz;FIC;Curso preparatório para a redação do Exame Nacional do Ensino Médio
Campus Cachoeiro de Itapemirim;Pós-Graduação;Pós-Graduação Aperfeiçoamento em Mentoria para a Educação Profissional e Tecnológica - EAD
Campus Barra de São Francisco;FIC;Agricultor Orgânico
Campus de Alegre;FIC;Agente de Alimentação Escolar
Campus de Alegre;FIC;Auxiliar de Agroecologia
Campus de Alegre;FIC;Auxiliar de Agropecuária
Campus de Alegre;FIC;Auxiliar de Cozinha
Campus Aracruz;FIC;Espanhol Básico II
Campus Cariacica;Pós-Graduação;Pós-graduação Lato Sensu em Engenharia de Produção com ênfase em Ciência de Dados
Campus São Mateus;FIC;Eletricista de Sistemas de Energias Renováveis
Campus Linhares;FIC;Curso de Extensão Aprendendo Robótica na Escola
Campus Serra;Superior;Tecnologia em Sistemas para Internet
Campus de Alegre;Pós-Graduação;Pós-Graduação Lato-Sensu em Agroecologia e Sustentabilidade - EAD
Campus Vitória;Superior;Letras Inglês - Segunda Licenciatura - Integral
Campus Centro-Serrano;Pós-Graduação;Pós-Graduação Especialização em Gestão Escolar para profissionais da Educação
Campus Montanha;Pós-Graduação;Especialização em Docência nos Anos Iniciais do Ensino Fundamental: Língua Portuguesa e Matemática - Noturno
Campus Nova Venécia;FIC;Operador de Computador
Campus Serra;FIC;FIC - Operador de Computador - Diurno
Campus Serra;FIC;FIC - Eletricista Instalador Predial de Baixa Tensão
Campus Aracruz;FIC;Curso de Introdução em Mecânica Naval
Campus Itapina;FIC;Auxiliar de Agropecuária
Campus Cachoeiro de Itapemirim;FIC;FIC1 - Introdução a programação com HTML5, CSS e Javascript
Campus Linhares;FIC;Campus Linhares Curso de extensão - Construindo jogos e aplicativos: um bloco por vez
Campus Aracruz;FIC;Espanhol Básico III
Campus Guarapari;Pós-Graduação;Pós-Graduação Especialização em Ciências Policiais - EAD
Campus Cachoeiro de Itapemirim;FIC;Eletricista Instalador Predial de Baixa Tensão
Campus Barra de São Francisco;FIC;Viveiricultor
Campus Vila Velha;Pós-Graduação;Aperfeiçoamento em metodologias de educação ambiental
Campus Vila Velha;Pós-Graduação;Especialização em educação ambiental escolar
Centro de Referência em Formação e em Educação a Distância;FIC;Formação de Mediadores Pedagógicos em Educação a Distância - versão Moodle 3.9
Campus Colatina;Mestrado;Pós-graduação stricto sensu em propriedade intelectual e transferência de tecnologia para inovação
Campus Linhares;Pós-Graduação;Pós-Graduação Lato Sensu Especialização em Meio Ambiente
Campus Piúma;Concomitante/Subsequente;Guia de Turismo
Campus Ibatiba;Superior;Pedagogia - Noturno
Campus Vitória;Concomitante/Subsequente;Técnico em Estradas - Matutino
Campus Cachoeiro de Itapemirim;FIC;FIC 2 - Programação com JavaScript e o Framework Node.js
Campus Vitória;Pós-Graduação;Pós-Graduação Lato Sensu em Georreferenciamento de Imóveis Rurais e Urbanos
Campus Colatina;FIC;Programe-se: Curso de Formação de Programadores
Campus Cariacica;Concomitante/Subsequente;Técnico em Logística - Subsequente
Campus Cariacica;Concomitante/Subsequente;Técnico em Portos - Subsequente
Campus Linhares;FIC;CURSO FIC - ELETRICISTA DE SISTEMAS DE ENERGIAS RENOVÁVEIS (INSTALADOR DE SISTEMAS FOTOVOLTAICOS)
Campus Guarapari;Concomitante/Subsequente;Técnico em Comércio
Campus Vila Velha;Pós-Graduação;Aluno Especial
Campus Aracruz;FIC;Espanhol Básico IV
Campus Presidente Kennedy;FIC;Programe-se: Curso de Formação de Programadores - PKE
Campus Vitória;Pós-Graduação;Pós-Graduação Especialização em Recursos Hídricos
Campus Cariacica;Pós-Graduação;Pós-Graduação Lato Sensu em Currículo e Ensino na Educação Básica
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação Aperfeiçoamento em Internet das Coisas
Campus Colatina;Concomitante/Subsequente;Técnico em Segurança do Trabalho
Campus Cachoeiro de Itapemirim;Integrado;TÉCNICO EM INFORMÁTICA PARA INTERNET
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-Graduação Especialização em Educação Especial Inclusiva
Campus Cariacica;Pós-Graduação;Pós-Graduação Lato Sensu em Engenharia Ferroviária com ênfase em Via Permanente
Campus Colatina;Pós-Graduação;Pós-Graduação Lato Sensu Especialização em Ensino de Ciências da Natureza
Campus Santa Teresa;Pós-Graduação;Pós-Graduação Especialização em Análise e Gestão Ambiental
Campus Colatina;FIC;(Re) Inclusão: Leitura e Escrita
Centro de Referência em Formação e em Educação a Distância;Pós-Graduação;Pós-graduação Especialização em Docência para a Educação Profissional e Tecnológica
Campus Nova Venécia;FIC;Artesão em bordado à mão: explorando a criatividade como potencial de renda
Campus Cariacica;FIC;Curso Básico - Prática de Banda Sinfônica
Campus Vila Velha;FIC;Cuidadora de Idosos
Campus Vila Velha;FIC;Cuidadora Infantil
Campus Aracruz;FIC;Auxiliar Administrativo
Campus Santa Teresa;Concomitante/Subsequente;Técnico em Agropecuária
Campus de Alegre;Pós-Graduação;Pós-Graduação Especialização em Educação em Humanidades
Campus Serra;Pós-Graduação;Especialização em Gestão da Inovação
Campus Venda Nova do Imigrante;FIC;Textos de Humor no Ensino e Aprendizagem de Língua Portuguesa
Campus Vila Velha;Superior;Engenharia Química - Integral
Campus Barra de São Francisco;FIC;Operador de computador
Campus Ibatiba;FIC;Formação em elaboração de projetos visando à implementação de políticas ambientais municipais e regionais.
Campus Serra;FIC;FIC - Eletricista Instalador Predial de Baixa Tensão - Mulheres Mil
Centro de Referência em Formação e em Educação a Distância;FIC;Libras Básico
Campus Vila Velha;Pós-Graduação;Pós-doutorado do Programa de Pós-graduação em Educação em Ciências e Matemática
Campus Serra;Especialização Técnica;Especialização Técnica em Desenvolvimento de Sistemas WEB com Métodos Ágeis
